Key,Value
 BitsPerPixel,14
 DimensionOrder,XYCZT
 IsInterleaved,false
 IsRGB,false
 LittleEndian,true
 PixelType,uint16
 Series 0 Name,MEF_cf647 kRAS_8.nd2 (series 1)
 SizeC,1
 SizeT,13128
 SizeX,256
 SizeY,256
 SizeZ,1
- Equidistant (Duration 0 s)  TextInfoItem_6Ando,DU-897 X-8069
Analyzer,Extracted
AsymetricalBinningX,-1
AsymetricalBinningY,-1
Average,1
AverageToQuality,0
Binning #1,1x1
Binning #2,1x1
Bottom,384
Camera Name,Andor DU-897 X-8069
Camera Settings
Camera Type #1,Andor DU-897
Camera Type #2,Andor DU-897
CameraFamilyName,DU897_BV
CameraName,X-8069
CameraOffset,0.008
CameraUniqueName,X-8069
CameraUserName,Andor DU-897 X-8069
CaptureMaxExposure,30000
CaptureQuality,75
ChannelColor,65407
ChannelCount,0
ChannelName,Comp5
Columns,2
Component Count,1
Condenser,2 (DICN1)
Conversion Gain #1,5.1x
Conversion Gain #2,5.1x
ConversionGain,2
Data,?E????%sz}\sz?%sz}\sz??E????
Desc,MCL NanoDrive PiezoZ Drive
DesiredTemperature,-70.0
Dimensions,T(13128)
EnableAutoExposure,true
EnableExposureEtc,true
EnableGainMultiplier,true
ExcitationSourceKey,Agilent
ExcitationSourceName,NIDAQ, MultiLaser(Agilent)
Exposure,20
Exposure #1,20.0
Exposure #2,20 ms
Exposure #3,20 ms
FilterWaveLength,558.0
FlexibleHeight,-1
GainMultiplier,200
Group,1
ID,Z2
Integrate,1
IsRingExposureHWTriggered,false
IsolatedCropMode,false
LastEmissionFilterKey1,Turret1
LastEmissionFilterName1,Nikon Ti, FilterChanger(Turret1)
Left,128
LightPath,R100
LimitListedExposureMax,-1
LimitListedExposureMin,-1
Line:1; ExW:405; Power,0.0; On
Line:2; ExW:488; Power,0.0; Off
Line:3; ExW:561; Power,0.0; Off
Line:4; ExW:647; Power:100.0; On        Microscope,Ti Microscope
LiveSpeedUp,1
Location,F:\2017\Jan\MEF_cf647 kRAS_8.nd2
MaintainTemperatureOnShutdown,false
MaxBulbExposure,-1
Microscope Settings
Modality,Widefield Fluorescence
ModifiedAtJDN,2457758.23884259
MultiViewEnabled,false
Multiplier #1,200
